Expression	Value	Location	Type	
[187]	'' (0x8D)	0x10024493	char	
[188]	'°' (0xB0)	0x10024494	char	
[189]	'S' (0x53)	0x10024495	char	
[190]	'Ž' (0x8E)	0x10024496	char	
[191]	'\0' (0x00)	0x10024497	char	
[192]	'P' (0x50)	0x10024498	char	
[193]	'*' (0x2A)	0x10024499	char	
[194]	'?' (0x3F)	0x1002449A	char	
[195]	'!' (0x21)	0x1002449B	char	
[196]	'l' (0x6C)	0x1002449C	char	
[197]	'.' (0x1A)	0x1002449D	char	
[198]	'Ì' (0xCC)	0x1002449E	char	
[199]	' ' (0x20)	0x1002449F	char	
[200]	'N' (0x4E)	0x100244A0	char	
[201]	'm' (0x6D)	0x100244A1	char	
[202]	'P' (0x50)	0x100244A2	char	
[203]	'C' (0x43)	0x100244A3	char	
[204]	'E' (0x45)	0x100244A4	char	
[205]	'P' (0x50)	0x100244A5	char	
[206]	'.' (0x1A)	0x100244A6	char	
[207]	'¶' (0xB6)	0x100244A7	char	
[208]	's' (0x73)	0x100244A8	char	
[209]	'.' (0x04)	0x100244A9	char	
[210]	'ë' (0xEB)	0x100244AA	char	
[211]	'ù' (0xF9)	0x100244AB	char	
[212]	')' (0x29)	0x100244AC	char	
[213]	'.' (0x1E)	0x100244AD	char	
[214]	'ÿ' (0xFF)	0x100244AE	char	
[215]	'\v' (0x0B)	0x100244AF	char	
[216]	'Æ' (0xC6)	0x100244B0	char	
[217]	'6' (0x36)	0x100244B1	char	
[218]	'S' (0x53)	0x100244B2	char	
[219]	'õ' (0xF5)	0x100244B3	char	
[220]	'á' (0xE1)	0x100244B4	char	
[221]	'Ÿ' (0x9F)	0x100244B5	char	
[222]	'+' (0x2B)	0x100244B6	char	
[223]	'¬' (0xAC)	0x100244B7	char	
[224]	'ó' (0xF3)	0x100244B8	char	
[225]	'Ô' (0xD4)	0x100244B9	char	
[226]	',' (0x2C)	0x100244BA	char	
[227]	'¤' (0xA4)	0x100244BB	char	
[228]	'2' (0x32)	0x100244BC	char	
[229]	's' (0x73)	0x100244BD	char	
[230]	'Ÿ' (0x9F)	0x100244BE	char	
[231]	'å' (0xE5)	0x100244BF	char	
[232]	'Š' (0x8A)	0x100244C0	char	
[233]	'Ý' (0xDD)	0x100244C1	char	
[234]	'0' (0x30)	0x100244C2	char	
[235]	'‘' (0x91)	0x100244C3	char	
[236]	'w' (0x77)	0x100244C4	char	
[237]	'8' (0x38)	0x100244C5	char	
[238]	'.' (0x1F)	0x100244C6	char	
[239]	'¸' (0xB8)	0x100244C7	char	
[240]	'C' (0x43)	0x100244C8	char	
[241]	'»' (0xBB)	0x100244C9	char	
[242]	',' (0x2C)	0x100244CA	char	
[243]	'‡' (0x87)	0x100244CB	char	
[244]	'ž' (0x9E)	0x100244CC	char	
[245]	'ž' (0x9E)	0x100244CD	char	
[246]	'>' (0x3E)	0x100244CE	char	
[247]	'>' (0x3E)	0x100244CF	char	
[248]	'z' (0x7A)	0x100244D0	char	
[249]	'\t' (0x09)	0x100244D1	char	
[250]	'' (0x8F)	0x100244D2	char	
[251]	'?' (0x3F)	0x100244D3	char	
[252]	'A' (0x41)	0x100244D4	char	
[253]	'œ' (0x9C)	0x100244D5	char	
[254]	'%' (0x25)	0x100244D6	char	
[255]	'Z' (0x5A)	0x100244D7	char	
[256]	'³' (0xB3)	0x100244D8	char	
[257]	'ò' (0xF2)	0x100244D9	char	
[258]	'f' (0x66)	0x100244DA	char	
[259]	'à' (0xE0)	0x100244DB	char	
[260]	'J' (0x4A)	0x100244DC	char	
[261]	'õ' (0xF5)	0x100244DD	char	
[262]	'.' (0x15)	0x100244DE	char	
[263]	'.' (0x1C)	0x100244DF	char	
[264]	'Ç' (0xC7)	0x100244E0	char	
[265]	'2' (0x32)	0x100244E1	char	
[266]	'™' (0x99)	0x100244E2	char	
[267]	'' (0x8D)	0x100244E3	char	
[268]	'°' (0xB0)	0x100244E4	char	
[269]	'S' (0x53)	0x100244E5	char	
[270]	'Ž' (0x8E)	0x100244E6	char	
[271]	'\0' (0x00)	0x100244E7	char	
[272]	'P' (0x50)	0x100244E8	char	
[273]	'*' (0x2A)	0x100244E9	char	
[274]	'?' (0x3F)	0x100244EA	char	
[275]	'!' (0x21)	0x100244EB	char	
[276]	'l' (0x6C)	0x100244EC	char	
[277]	'.' (0x1A)	0x100244ED	char	
[278]	'Ì' (0xCC)	0x100244EE	char	
[279]	' ' (0x20)	0x100244EF	char	
[280]	'N' (0x4E)	0x100244F0	char	
[281]	'm' (0x6D)	0x100244F1	char	
[282]	'P' (0x50)	0x100244F2	char	
[283]	'C' (0x43)	0x100244F3	char	
[284]	'E' (0x45)	0x100244F4	char	
[285]	'P' (0x50)	0x100244F5	char	
[286]	'.' (0x1A)	0x100244F6	char	
[287]	'¶' (0xB6)	0x100244F7	char	
[288]	's' (0x73)	0x100244F8	char	
[289]	'.' (0x04)	0x100244F9	char	
[290]	'ë' (0xEB)	0x100244FA	char	
[291]	'ù' (0xF9)	0x100244FB	char	
[292]	')' (0x29)	0x100244FC	char	
[293]	'.' (0x1E)	0x100244FD	char	
[294]	'ÿ' (0xFF)	0x100244FE	char	
[295]	'\v' (0x0B)	0x100244FF	char	
[296]	'Æ' (0xC6)	0x10024500	char	
[297]	'6' (0x36)	0x10024501	char	
[298]	'S' (0x53)	0x10024502	char	
[299]	'õ' (0xF5)	0x10024503	char	
[300]	'á' (0xE1)	0x10024504	char	
[301]	'Ÿ' (0x9F)	0x10024505	char	
[302]	'+' (0x2B)	0x10024506	char	
[303]	'¬' (0xAC)	0x10024507	char	
[304]	'ó' (0xF3)	0x10024508	char	
[305]	'Ô' (0xD4)	0x10024509	char	
[306]	',' (0x2C)	0x1002450A	char	
[307]	'¤' (0xA4)	0x1002450B	char	
[308]	'2' (0x32)	0x1002450C	char	
[309]	's' (0x73)	0x1002450D	char	
[310]	'Ÿ' (0x9F)	0x1002450E	char	
[311]	'å' (0xE5)	0x1002450F	char	
[312]	'±' (0xB1)	0x10024510	char	
[313]	'í' (0xED)	0x10024511	char	
[314]	'°' (0xB0)	0x10024512	char	
[315]	'Ñ' (0xD1)	0x10024513	char	
[316]	'w' (0x77)	0x10024514	char	
[317]	'8' (0x38)	0x10024515	char	
[318]	'.' (0x1E)	0x10024516	char	
[319]	'¸' (0xB8)	0x10024517	char	
[320]	'C' (0x43)	0x10024518	char	
[321]	'»' (0xBB)	0x10024519	char	
[322]	',' (0x2C)	0x1002451A	char	
[323]	'‡' (0x87)	0x1002451B	char	
[324]	'ž' (0x9E)	0x1002451C	char	
[325]	'ž' (0x9E)	0x1002451D	char	
[326]	'7' (0x37)	0x1002451E	char	
[327]	'†' (0x86)	0x1002451F	char	
[328]	'X' (0x58)	0x10024520	char	
[329]	'\v' (0x0B)	0x10024521	char	
[330]	'ï' (0xEF)	0x10024522	char	
[331]	'¡' (0xA1)	0x10024523	char	
[332]	'.' (0x7F)	0x10024524	char	
[333]	'ƒ' (0x83)	0x10024525	char	
[334]	'1' (0x31)	0x10024526	char	
[335]	'Ì' (0xCC)	0x10024527	char	
[336]	'.' (0x06)	0x10024528	char	
[337]	'¾' (0xBE)	0x10024529	char	
[338]	'¡' (0xA1)	0x1002452A	char	
[339]	'Q' (0x51)	0x1002452B	char	
[340]	'.' (0x06)	0x1002452C	char	
[341]	'.' (0x02)	0x1002452D	char	
[342]	'À' (0xC0)	0x1002452E	char	
[343]	'Ý' (0xDD)	0x1002452F	char	
[344]	'£' (0xA3)	0x10024530	char	
[345]	'I' (0x49)	0x10024531	char	
[346]	'î' (0xEE)	0x10024532	char	
[347]	'¶' (0xB6)	0x10024533	char	
[348]	'J' (0x4A)	0x10024534	char	
[349]	'Ú' (0xDA)	0x10024535	char	
[350]	'ú' (0xFA)	0x10024536	char	
[351]	'\' (0x5C)	0x10024537	char	
[352]	'É' (0xC9)	0x10024538	char	
[353]	'R' (0x52)	0x10024539	char	
[354]	'A' (0x41)	0x1002453A	char	
[355]	'ß' (0xDF)	0x1002453B	char	
[356]	'©' (0xA9)	0x1002453C	char	
[357]	'ë' (0xEB)	0x1002453D	char	
[358]	'ê' (0xEA)	0x1002453E	char	
[359]	'•' (0x95)	0x1002453F	char	
[360]	'h' (0x68)	0x10024540	char	
[361]	'Ò' (0xD2)	0x10024541	char	
[362]	'ï' (0xEF)	0x10024542	char	
[363]	'.' (0x10)	0x10024543	char	
[364]	'n' (0x6E)	0x10024544	char	
[365]	'›' (0x9B)	0x10024545	char	
[366]	'w' (0x77)	0x10024546	char	
